timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta,label
1779256722.3160596,g5.hpc.coe,43337,,0,0.0,0.0,12288.0,9102742736,9699827732,10696025,11506343,1225680,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,network_stall
1779256722.8161805,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102750935,9699835574,10696178,11506494,1225680,0,0,0,0,0,0,0,0,0,0,0,0,8199,7842,153,151,0,0,0,0,0,0,0,0,0,network_stall
1779256723.316297,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102836304,9699919670,10697807,11508123,1225680,0,0,0,0,0,0,0,0,0,0,0,0,85369,84096,1629,1629,0,0,0,0,0,0,0,0,0,network_stall
1779256723.8164139,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102907973,9699990004,10699169,11509481,1225680,0,0,0,0,0,0,0,0,0,0,0,0,71669,70334,1362,1358,0,0,0,0,0,0,0,0,0,network_stall
1779256724.3165245,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102946169,9700027281,10699895,11510198,1225680,0,0,0,0,0,0,0,0,0,0,0,0,38196,37277,726,717,0,0,0,0,0,0,0,0,0,network_stall
1779256724.8166654,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102946648,9700027338,10699897,11510199,1225680,0,0,0,0,0,0,0,0,0,0,0,0,479,57,2,1,0,0,0,0,0,0,0,0,0,network_stall
1779256725.316815,g5.hpc.coe,43337,0.5001,0,0.0,0.0,12288.0,9102947168,9700027395,10699899,11510200,1225680,0,0,0,0,0,0,0,0,0,0,0,0,520,57,2,1,0,0,0,0,0,0,0,0,0,network_stall
1779256725.816922,g5.hpc.coe,43337,0.5001,0,0.0,13.0,12288.0,9102948229,9700027990,10699912,11510210,1225680,0,0,0,0,0,0,0,0,0,0,0,0,1061,595,13,10,0,0,0,0,0,0,0,0,0,network_stall
1779256726.317038,g5.hpc.coe,43337,0.5001,0,13.0,419.0,12288.0,9108209093,9705742500,10706248,11517380,1226427,0,0,0,0,0,0,0,0,0,0,0,0,5260864,5714510,6336,7170,747,0,0,0,0,0,0,0,0,network_stall
1779256726.8171434,g5.hpc.coe,43337,0.5001,0,0.0,419.0,12288.0,9108295801,9705827359,10707891,11519020,1226427,0,0,0,0,0,0,0,0,0,0,0,0,86708,84859,1643,1640,0,0,0,0,0,0,0,0,0,network_stall
1779256727.3172467,g5.hpc.coe,43337,0.5001,0,0.0,419.0,12288.0,9108357556,9705887747,10709064,11520189,1226427,0,0,0,0,0,0,0,0,0,0,0,0,61755,60388,1173,1169,0,0,0,0,0,0,0,0,0,network_stall
1779256727.8173473,g5.hpc.coe,43337,0.5001,0,100.0,523.0,12288.0,9108370917,9705900199,10709179,11520300,1226427,0,0,0,0,0,0,0,0,0,0,0,0,13361,12452,115,111,0,0,0,0,0,0,0,0,0,network_stall
1779256728.317464,g5.hpc.coe,43337,0.5001,0,74.0,2035.0,12288.0,9115310841,9713234099,10716113,11527961,1226428,0,0,0,0,0,0,0,0,0,0,0,0,6939924,7333900,6934,7661,1,0,0,0,0,0,0,0,0,network_stall
1779256728.817565,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115311710,9713234178,10716117,11527963,1226428,0,0,0,0,0,0,0,0,0,0,0,0,869,79,4,2,0,0,0,0,0,0,0,0,0,network_stall
1779256729.317701,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115312598,9713234257,10716120,11527965,1226428,0,0,0,0,0,0,0,0,0,0,0,0,888,79,3,2,0,0,0,0,0,0,0,0,0,network_stall
1779256729.817827,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115313528,9713234336,10716123,11527967,1226428,0,0,0,0,0,0,0,0,0,0,0,0,930,79,3,2,0,0,0,0,0,0,0,0,0,network_stall
1779256730.3179562,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115314499,9713234415,10716126,11527969,1226428,0,0,0,0,0,0,0,0,0,0,0,0,971,79,3,2,0,0,0,0,0,0,0,0,0,network_stall
1779256730.81808,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115315511,9713234494,10716129,11527971,1226428,0,0,0,0,0,0,0,0,0,0,0,0,1012,79,3,2,0,0,0,0,0,0,0,0,0,network_stall
1779256731.3182044,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115316634,9713234642,10716135,11527976,1226428,0,0,0,0,0,0,0,0,0,0,0,0,1123,148,6,5,0,0,0,0,0,0,0,0,0,network_stall
1779256731.818339,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9115317752,9713234721,10716139,11527978,1226428,0,0,0,0,0,0,0,0,0,0,0,0,1118,79,4,2,0,0,0,0,0,0,0,0,0,network_stall
1779256732.3184404,g5.hpc.coe,43337,0.5001,0,69.0,2035.0,12288.0,9129911952,9727848068,10730919,11542804,1226431,0,0,0,0,0,0,0,0,0,0,0,0,14594200,14613347,14780,14826,3,0,0,0,0,0,0,0,0,network_stall
1779256732.8185682,g5.hpc.coe,43337,0.5001,0,12.0,2035.0,12288.0,9150056514,9747979650,10751118,11562991,1226439,0,0,0,0,0,0,0,0,0,0,0,0,20144562,20131582,20199,20187,8,0,0,0,0,0,0,0,0,network_stall
1779256733.3186967,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9150056698,9747979707,10751120,11562992,1226439,0,0,0,0,0,0,0,0,0,0,0,0,184,57,2,1,0,0,0,0,0,0,0,0,0,network_stall
1779256733.8188295,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9150056924,9747979764,10751122,11562993,1226439,0,0,0,0,0,0,0,0,0,0,0,0,226,57,2,1,0,0,0,0,0,0,0,0,0,network_stall
1779256734.3189561,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9150057814,9747980268,10751139,11563002,1226439,0,0,0,0,0,0,0,0,0,0,0,0,890,504,17,9,0,0,0,0,0,0,0,0,0,network_stall
1779256734.8190558,g5.hpc.coe,43337,0.5001,0,0.0,2035.0,12288.0,9150058123,9747980325,10751141,11563003,1226439,0,0,0,0,0,0,0,0,0,0,0,0,309,57,2,1,0,0,0,0,0,0,0,0,0,network_stall
