timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1778096619.267498,g5.hpc.coe,41393,,0,0.0,0.0,12288.0,135347217976,136420270205,137613790,139217115,2565898,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1778096619.7676382,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347218306,136420270262,137613793,139217116,2565898,0,0,0,0,0,0,0,0,0,0,0,0,330,57,3,1,0,0,0,0,0,0,0,0,0
1778096620.2677586,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347218657,136420270319,137613795,139217117,2565898,0,0,0,0,0,0,0,0,0,0,0,0,351,57,2,1,0,0,0,0,0,0,0,0,0
1778096620.7679102,g5.hpc.coe,41393,0.5002,0,0.0,0.0,12288.0,135347219050,136420270376,137613797,139217118,2565898,0,0,0,0,0,0,0,0,0,0,0,0,393,57,2,1,0,0,0,0,0,0,0,0,0
1778096621.2680326,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347219485,136420270433,137613799,139217119,2565898,0,0,0,0,0,0,0,0,0,0,0,0,435,57,2,1,0,0,0,0,0,0,0,0,0
1778096621.7681713,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347219962,136420270490,137613801,139217120,2565898,0,0,0,0,0,0,0,0,0,0,0,0,477,57,2,1,0,0,0,0,0,0,0,0,0
1778096622.2683058,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347220482,136420270547,137613803,139217121,2565898,0,0,0,0,0,0,0,0,0,0,0,0,520,57,2,1,0,0,0,0,0,0,0,0,0
1778096622.7684417,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347221066,136420270626,137613806,139217123,2565898,0,0,0,0,0,0,0,0,0,0,0,0,584,79,3,2,0,0,0,0,0,0,0,0,0
1778096623.2685761,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347221692,136420270705,137613809,139217125,2565898,0,0,0,0,0,0,0,0,0,0,0,0,626,79,3,2,0,0,0,0,0,0,0,0,0
1778096623.76871,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347222360,136420270784,137613812,139217127,2565898,0,0,0,0,0,0,0,0,0,0,0,0,668,79,3,2,0,0,0,0,0,0,0,0,0
